invoiceDate,invoiceNumber,purchaseDealer,receivedDate,manufactureDate,model,grade,fuelType,suffix,exteriorColor,interiorColor,chassisNumber,engineNumber,keyNumber,location,invoiceValue,age,interest,vehicleStatus
16/04/25,6935000841,Anant Gwalior,21/04/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYMM1SSC169796,M15D ND91239,51201,Gwalior,1805126.95,59,37932.39372,FREE
02/05/25,6935001675,Anant Gwalior,06/05/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYMM1SSD171734,M15D NE02179,50835,Gwalior,1805126.95,43,27645.64288,FREE
21/05/25,6935002740,Anant Gwalior,24/05/25,1905,URBAN CRUISER HYRYDER,G eDrive 2WD,HYBRID,D22U5,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYMM1SSE173540,M15D NE13455,50322,Gwalior,1805126.95,24,15430.12626,FREE
20/05/25,6935002654,Anant Gwalior,26/05/25,1905,URBAN CRUISER HYRYDER,G MT 2WD MHV,PETROL,D22BE,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYML1SSE159118,K15CN 7722476,50944,Gwalior,,25,,FREE
26/05/25,6935002955,Anant Gwalior,31/05/25,1905,URBAN CRUISER HYRYDER,S eDrive 2WD,HYBRID,D22U6,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYMM1SSE172239,M15D NE04889,50876,Gwalior,1610835.6,19,10900.7231,FREE
24/05/25,6935002880,Anant Gwalior,28/05/25,1905,URBAN CRUISER HYRYDER,V eDrive 2WD,HYBRID,D22U4,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSE174384,M15D NE15893,51113,Gwalior,1915193.5,21,14324.59796,FREE
27/05/25,6935003006,Anant Gwalior,02/06/25,1905,URBAN CRUISER HYRYDER,V eDrive 2WD,HYBRID,D22U4,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSE174653,MBJUYMM1SSE174653,50386,Gwalior,1915193.5,18,12278.22682,FREE
02/06/25,6935003398,Anant Gwalior,07/06/25,1905,URBAN CRUISER HYRYDER,V eDrive 2WD,HYBRID,D22U4,MIDNIGHT BLACK,INTERIOR COLOR FOR D22,MBJUYMM1SSE174833,M15D NE06783,50396,Gwalior,1915193.5,12,8185.484548,FREE
20/05/25,6935002654,Anant Gwalior,26/05/25,1905,URBAN CRUISER HYRYDER,V eDrive 2WD,HYBRID,D22U4,CAFE WHITE,INTERIOR COLOR FOR D22,MBJUYMM1SSE173645,M15D NE13591,50368,Gwalior,,25,,FREE
23/05/25,6935002853,Anant Gwalior,26/05/25,1905,URBAN CRUISER TAISOR,E MT,PETROL,D27TS,SPORTIN RED,BLACK,MBHLWF13SSE566213,K12NP 7669058,5594,Gwalior,761100.01,22,5963.68775,FREE
